gender,Partner,Dependents,PhoneService,tenure,MonthlyCharges
Female,Yes,No,No,1,29.85
Male,No,No,Yes,34,56.95
Male,No,No,Yes,2,53.85
Male,No,No,No,45,42.3
Female,No,No,Yes,2,70.7
Female,No,No,Yes,8,99.65
Male,No,Yes,Yes,22,89.1
Female,No,No,No,10,29.75
Female,Yes,No,Yes,28,104.8
Male,No,Yes,Yes,62,56.15
Male,Yes,Yes,Yes,13,49.95
Male,No,No,Yes,16,18.95
Male,Yes,No,Yes,58,100.35
Male,No,No,Yes,49,103.7
Male,No,No,Yes,25,105.5
Female,Yes,Yes,Yes,69,113.25
Female,No,No,Yes,52,20.65
Male,No,Yes,Yes,71,106.7
Female,Yes,Yes,Yes,10,55.2
Female,No,No,Yes,21,90.05
Male,No,No,No,1,39.65
Male,Yes,No,Yes,12,19.8
Male,No,No,Yes,1,20.15
Female,Yes,No,Yes,58,59.9
Male,Yes,Yes,Yes,49,59.6
Female,No,No,Yes,30,55.3
Male,Yes,Yes,Yes,47,99.35
Male,Yes,Yes,No,1,30.2
Male,Yes,No,Yes,72,90.25
Female,No,Yes,Yes,17,64.7
Female,Yes,No,Yes,71,96.35
Male,Yes,No,Yes,2,95.5
Female,Yes,Yes,Yes,27,66.15
Male,No,No,Yes,1,20.2
Male,No,No,Yes,1,45.25
Female,Yes,Yes,Yes,72,99.9
Male,No,No,Yes,5,69.7
Female,No,No,Yes,46,74.8
Male,No,No,Yes,34,106.35
Female,No,No,Yes,11,97.85
Male,Yes,Yes,Yes,10,49.55
Female,Yes,Yes,Yes,70,69.2
Female,Yes,Yes,Yes,17,20.75
Female,No,No,Yes,63,79.85
Female,Yes,No,Yes,13,76.2
Female,No,No,Yes,49,84.5
Male,No,No,Yes,2,49.25
Female,No,No,Yes,2,80.65
Male,No,No,Yes,52,79.75
Female,Yes,Yes,Yes,69,64.15
Female,No,No,Yes,43,90.25
Female,No,No,Yes,15,99.1
Female,Yes,No,Yes,25,69.5
Female,Yes,No,Yes,8,80.65
Female,Yes,Yes,Yes,60,74.85
Male,No,No,Yes,18,95.45
Female,Yes,Yes,Yes,63,99.65
Male,Yes,Yes,Yes,66,108.45
Female,Yes,Yes,Yes,34,24.95
Female,No,No,Yes,72,107.5
Female,Yes,No,Yes,47,100.5
Male,No,No,Yes,60,89.9
Male,Yes,No,No,72,42.1
Female,Yes,Yes,Yes,18,54.4
Female,No,No,Yes,9,94.4
Female,No,No,Yes,3,75.3
Male,Yes,No,Yes,47,78.9
Female,No,No,Yes,31,79.2
Female,Yes,Yes,Yes,50,20.15
Male,No,No,Yes,10,79.85
Male,No,No,Yes,1,49.05
Female,Yes,Yes,Yes,52,20.4
Male,Yes,Yes,Yes,64,111.6
Male,Yes,Yes,Yes,62,24.25
Female,No,Yes,Yes,3,64.5
Female,No,No,Yes,56,110.5
Female,No,No,Yes,46,55.65
Female,Yes,Yes,Yes,8,54.65
Male,No,No,Yes,30,74.75
Female,Yes,Yes,Yes,45,25.9
Female,No,Yes,Yes,1,79.35
Female,Yes,Yes,No,11,50.55
Female,Yes,No,Yes,7,75.15
Female,No,No,Yes,42,103.8
Female,Yes,No,Yes,49,20.15
Male,No,No,Yes,9,99.3
Female,Yes,No,Yes,35,62.15
Female,Yes,Yes,Yes,48,20.65
Female,Yes,Yes,Yes,46,19.95
Male,Yes,No,No,29,33.75
Male,Yes,Yes,Yes,30,82.05
Male,No,No,Yes,1,74.7
Male,Yes,Yes,Yes,66,84.0
Female,No,No,Yes,65,111.05
Male,No,No,Yes,72,100.9
Female,No,No,Yes,12,78.95
Male,Yes,Yes,Yes,71,66.85
Male,No,No,Yes,5,21.05
Male,No,No,Yes,52,21.0
Female,Yes,No,Yes,25,98.5
Male,No,No,Yes,1,20.2
Female,Yes,Yes,Yes,1,19.45
Male,No,No,Yes,38,95.0
Female,Yes,No,No,66,45.55
Male,Yes,No,Yes,68,110.0
Male,No,No,No,5,24.3
Female,Yes,Yes,Yes,72,104.15
Female,No,No,No,32,30.15
Male,No,No,Yes,43,94.35
Male,Yes,Yes,Yes,72,19.4
Male,Yes,No,Yes,55,96.75
Female,No,No,Yes,52,57.95
Female,No,No,Yes,43,91.65
Female,Yes,No,Yes,37,76.5
Female,Yes,Yes,No,64,54.6
Male,Yes,Yes,Yes,3,89.85
Female,No,No,No,36,31.05
Female,Yes,Yes,Yes,10,100.25
Female,No,No,Yes,41,20.65
Male,Yes,Yes,Yes,27,85.2
Female,Yes,Yes,Yes,56,99.8
Female,No,No,Yes,6,20.7
Male,No,No,Yes,3,74.4
Female,Yes,Yes,Yes,7,50.7
Female,Yes,Yes,Yes,4,20.85
Male,No,No,Yes,33,88.95
Female,No,No,Yes,27,78.05
Male,Yes,No,Yes,72,23.55
Male,No,No,Yes,1,19.75
Male,No,No,No,71,56.45
Female,No,No,Yes,13,85.95
Female,Yes,Yes,No,25,58.6
Male,No,No,Yes,67,50.55
Male,No,No,No,1,35.45
Male,No,No,Yes,2,44.35
Female,No,No,Yes,43,25.7
Female,No,No,Yes,23,75.0
Female,Yes,Yes,Yes,64,20.2
Male,No,Yes,Yes,57,19.6
Female,Yes,No,Yes,1,70.45
Female,Yes,Yes,Yes,72,88.05
Female,No,No,Yes,8,71.15
Female,Yes,No,Yes,61,101.05
Male,No,No,Yes,64,84.3
Male,Yes,No,Yes,71,23.95
Female,Yes,Yes,Yes,65,99.05
Male,No,No,Yes,3,19.6
Male,No,No,Yes,1,45.65
Male,No,Yes,Yes,30,64.5
Male,Yes,Yes,Yes,15,69.5
Female,Yes,Yes,Yes,8,68.55
Male,No,No,Yes,7,95.0
Female,Yes,Yes,Yes,70,108.15
Male,Yes,Yes,Yes,62,86.1
Female,Yes,Yes,Yes,6,19.7
Female,Yes,Yes,Yes,14,80.9
Female,No,No,Yes,22,84.15
Male,Yes,Yes,Yes,22,20.15
Male,Yes,Yes,Yes,16,64.25
Male,No,No,Yes,10,25.7
Female,No,Yes,Yes,13,56.0
Female,Yes,No,Yes,20,82.4
Female,No,No,Yes,2,69.7
Male,No,No,Yes,53,73.9
Female,Yes,Yes,Yes,11,20.6
Male,Yes,No,Yes,69,19.9
Female,No,No,Yes,4,70.9
Male,Yes,No,Yes,72,89.05
Male,Yes,No,No,58,45.3
Female,Yes,Yes,Yes,16,20.4
Male,Yes,No,Yes,43,84.25
Female,Yes,No,Yes,2,104.4
Male,Yes,No,Yes,14,81.95
Female,Yes,No,Yes,53,94.85
Female,No,No,Yes,32,20.55
Female,Yes,No,Yes,34,24.7
Female,No,No,Yes,15,74.45
Female,No,No,Yes,7,76.45
Female,Yes,Yes,Yes,15,105.35
Male,Yes,No,Yes,61,20.55
Female,No,No,No,1,29.95
Female,No,No,Yes,1,45.3
Male,No,No,Yes,8,84.5
Male,Yes,Yes,Yes,33,74.75
Female,No,No,Yes,13,79.25
Female,Yes,No,No,1,24.8
Male,No,No,Yes,20,51.8
Male,No,No,No,3,30.4
Female,No,No,Yes,13,19.65
Female,Yes,No,Yes,40,56.6
Male,Yes,Yes,Yes,43,71.9
Male,Yes,No,Yes,6,91.0
Female,Yes,Yes,Yes,69,19.75
Female,Yes,Yes,Yes,72,109.7
Male,Yes,Yes,Yes,59,19.3
Female,Yes,No,Yes,20,96.55
Male,Yes,Yes,Yes,24,24.1
Male,No,No,Yes,59,111.35
Male,Yes,Yes,Yes,72,112.25
Male,No,Yes,Yes,1,20.75
Female,Yes,No,Yes,27,101.9
Female,No,No,Yes,14,80.05
Male,Yes,Yes,Yes,71,105.55
Male,No,Yes,Yes,13,78.3
Male,No,No,Yes,44,68.85
Female,No,No,Yes,33,79.95
Male,Yes,Yes,No,72,55.45
Male,No,No,Yes,1,79.9
Female,No,No,Yes,19,106.6
Male,Yes,No,Yes,64,102.45
Male,No,No,Yes,2,46.0
Female,No,No,No,1,25.25
Male,No,Yes,Yes,61,19.75
Female,Yes,Yes,Yes,29,20.0
Male,Yes,No,Yes,23,86.8
Female,Yes,No,No,57,58.75
Male,Yes,Yes,No,72,45.25
Male,Yes,No,No,66,56.6
Male,Yes,Yes,Yes,65,84.2
Female,No,No,Yes,8,80.0
Female,No,No,Yes,4,70.15
Female,Yes,No,Yes,71,24.75
Male,Yes,Yes,Yes,1,20.2
Male,Yes,No,Yes,4,50.05
Female,No,No,Yes,12,19.35
Male,No,No,No,24,50.6
Female,Yes,Yes,Yes,31,81.15
Female,Yes,No,Yes,1,55.2
Male,No,No,Yes,30,89.9
Female,Yes,Yes,Yes,47,85.3
Male,No,No,Yes,54,108.0
Male,No,No,Yes,50,93.5
Male,No,No,Yes,1,84.6
Female,No,No,Yes,72,20.25
Female,No,No,Yes,29,25.15
Male,No,No,Yes,2,54.4
Female,No,No,No,10,29.6
Male,Yes,No,Yes,18,73.15
Female,No,No,Yes,11,95.0
Male,No,No,Yes,16,19.75
Female,No,No,Yes,72,86.6
